system_id,method,outer_iteration,func_count,optimize_time,current_max,magsigma2,ls_H-H,ls_H-C,ls_H-O,ls_C-C,ls_C-O,dist_from_known,threshold,stopped_early
d_136,OTGPD,15,10,34.5791,0.249792,1.97525,0.295713,0.709147,0.510056,0.952953,0.587349,0.0104691,0.227292,False
d_136,OTGPD,16,8,26.8672,0.101231,1.96696,0.293922,0.70917,0.499777,1.03138,0.591415,0.00137285,0.231047,False
d_136,OTGPD,16,8,26.8672,0.101231,1.96696,0.293922,0.70917,0.499777,1.03138,0.591415,0.00158156,0.231047,False
d_136,OTGPD,16,8,26.8672,0.101231,1.96696,0.293922,0.70917,0.499777,1.03138,0.591415,0.00209722,0.231047,False
d_136,OTGPD,16,8,26.8672,0.101231,1.96696,0.293922,0.70917,0.499777,1.03138,0.591415,0.00261164,0.231047,False
d_136,OTGPD,16,8,26.8672,0.101231,1.96696,0.293922,0.70917,0.499777,1.03138,0.591415,0.00247623,0.231047,False
d_136,OTGPD,16,8,26.8672,0.101231,1.96696,0.293922,0.70917,0.499777,1.03138,0.591415,0.00257507,0.231047,False
d_136,OTGPD,17,4,11.5401,0.0967944,1.98323,0.29466,0.704346,0.497644,1.0224,0.591108,0.000448397,0.23475,False
d_136,OTGPD,17,4,11.5401,0.0967944,1.98323,0.29466,0.704346,0.497644,1.0224,0.591108,0.000880289,0.23475,False
d_136,OTGPD,17,4,11.5401,0.0967944,1.98323,0.29466,0.704346,0.497644,1.0224,0.591108,0.00157611,0.23475,False
d_136,OTGPD,17,4,11.5401,0.0967944,1.98323,0.29466,0.704346,0.497644,1.0224,0.591108,0.00192698,0.23475,False
d_136,OTGPD,17,4,11.5401,0.0967944,1.98323,0.29466,0.704346,0.497644,1.0224,0.591108,0.00220044,0.23475,False
d_136,OTGPD,17,4,11.5401,0.0967944,1.98323,0.29466,0.704346,0.497644,1.0224,0.591108,0.00302012,0.23475,False
d_136,OTGPD,17,4,11.5401,0.0967944,1.98323,0.29466,0.704346,0.497644,1.0224,0.591108,0.00445264,0.23475,False
d_136,OTGPD,17,4,11.5401,0.0967944,1.98323,0.29466,0.704346,0.497644,1.0224,0.591108,0.00732799,0.23475,False
d_136,OTGPD,17,4,11.5401,0.0967944,1.98323,0.29466,0.704346,0.497644,1.0224,0.591108,0.00781806,0.23475,False
d_136,OTGPD,17,4,11.5401,0.0967944,1.98323,0.29466,0.704346,0.497644,1.0224,0.591108,0.00836133,0.23475,False
d_136,OTGPD,17,4,11.5401,0.0967944,1.98323,0.29466,0.704346,0.497644,1.0224,0.591108,0.0091362,0.23475,False
d_136,OTGPD,17,4,11.5401,0.0967944,1.98323,0.29466,0.704346,0.497644,1.0224,0.591108,0.0108635,0.23475,False
d_136,OTGPD,17,4,11.5401,0.0967944,1.98323,0.29466,0.704346,0.497644,1.0224,0.591108,0.011205,0.23475,False
d_136,OTGPD,17,4,11.5401,0.0967944,1.98323,0.29466,0.704346,0.497644,1.0224,0.591108,0.0111761,0.23475,False
d_136,OTGPD,17,4,11.5401,0.0967944,1.98323,0.29466,0.704346,0.497644,1.0224,0.591108,0.0113323,0.23475,False
d_136,OTGPD,17,4,11.5401,0.0967944,1.98323,0.29466,0.704346,0.497644,1.0224,0.591108,0.0115181,0.23475,False
d_136,OTGPD,17,4,11.5401,0.0967944,1.98323,0.29466,0.704346,0.497644,1.0224,0.591108,0.0118948,0.23475,False
d_136,OTGPD,17,4,11.5401,0.0967944,1.98323,0.29466,0.704346,0.497644,1.0224,0.591108,0.0119343,0.23475,False
d_136,OTGPD,17,4,11.5401,0.0967944,1.98323,0.29466,0.704346,0.497644,1.0224,0.591108,0.011945,0.23475,False
