pes_calls,iter_steps,tot_time,saddle_energy,saddle_fmax,success,method,dimer_rot,dimer_trans,init_energy,barrier,mol_id,spin,termination_status,rmsd_init_saddle
194,69,828.696,-4238.26783,0.00851884,true,Dimer,cg,lbfgs,-4236.4328063982275,-1.8350236017722636,026,doublets,GOOD,0.3383185764270185
263,126,1389.608,-8462.146048,0.00936498,true,Dimer,cg,lbfgs,-8461.063300167765,-1.0827478322353272,027,doublets,GOOD,0.3615925963778223
466,226,2645.341,-10370.028468,0.00576637,true,Dimer,cg,lbfgs,-10365.226249238041,-4.802218761959011,028,doublets,GOOD,1.2664893761528542
395,185,2117.028,-8461.795931,0.0099703,true,Dimer,cg,lbfgs,-8453.112389633288,-8.683541366712234,029,doublets,GOOD,0.909885082988858
233,107,1037.796,-7318.343259,0.00812645,true,Dimer,cg,lbfgs,-7316.51285499639,-1.830404003610056,030,doublets,GOOD,0.37505640494539483
303,138,1695.79,-6230.221371,0.00902115,true,Dimer,cg,lbfgs,-6226.555747518091,-3.6656234819083693,031,doublets,GOOD,1.3693983892311148
646,315,3599.219,-9341.641809,0.00814301,true,Dimer,cg,lbfgs,-9341.05442446264,-0.5873845373607764,032,doublets,GOOD,1.2781812232652392
0,0,0.0,NaN,NaN,false,Dimer,cg,lbfgs,NaN,NaN,033,doublets,BAD_MAX_ITERATIONS,
2532,991,14289.138,-7320.323378,0.00861296,true,Dimer,cg,lbfgs,-7317.873231674738,-2.4501463252618123,034,doublets,GOOD,19.61690722152846
117,54,658.335,-9342.500228,0.00882391,true,Dimer,cg,lbfgs,-9342.115910061935,-0.38431793806557835,035,doublets,GOOD,0.07836983185135069
133,61,644.23,-9313.322138,0.00856724,true,Dimer,cg,lbfgs,-9312.469548010376,-0.852589989623084,036,doublets,GOOD,0.16878902205865487
138,60,827.864,-8286.796856,0.00852891,true,Dimer,cg,lbfgs,-8286.572586557335,-0.2242694426659,037,doublets,GOOD,0.1977035753343668
327,157,1690.46,-8462.227459,0.00777556,true,Dimer,cg,lbfgs,-8459.923908229246,-2.3035507707536453,038,doublets,GOOD,0.4663956561387806
357,148,1650.962,-5262.648122,0.00963816,true,Dimer,cg,lbfgs,-5261.275652558276,-1.3724694417232968,039,doublets,GOOD,2.657153593044199
127,51,734.199,-5175.037565,0.00912294,true,Dimer,cg,lbfgs,-5174.64507989459,-0.3924851054098326,040,doublets,GOOD,0.26763637510464205
296,133,1367.813,-9312.118484,0.00877118,true,Dimer,cg,lbfgs,-9312.501515169766,0.38303116976567253,041,doublets,GOOD,0.28983942299062065
72,31,291.757,-4203.700796,0.00925582,true,Dimer,cg,lbfgs,-4202.0839358078865,-1.6168601921135632,042,doublets,GOOD,0.2247606009229455
220,100,1123.106,-8285.667228,0.008295,true,Dimer,cg,lbfgs,-8285.828074363684,0.16084636368395877,043,doublets,GOOD,0.25650799685815584
134,62,617.231,-7318.187753,0.00714672,true,Dimer,cg,lbfgs,-7317.455807317176,-0.7319456828245166,044,doublets,GOOD,0.1548832138815719
0,0,0.0,NaN,NaN,false,Dimer,cg,lbfgs,NaN,NaN,045,doublets,BAD_MAX_ITERATIONS,
336,141,1564.106,-6350.860894,0.00815437,true,Dimer,cg,lbfgs,-6349.743458127506,-1.1174358724947524,046,doublets,GOOD,0.37727740883143757
299,140,1506.68,-8462.147308,0.00997028,true,Dimer,cg,lbfgs,-8460.568838371813,-1.5784696281862125,047,doublets,GOOD,0.3369144363970313
